Server Address ,Timeout term, Timeout time
134.0.113.205/8,20230502074333-20230502075333,600.411
56.76.34.106/10,20230502074351-20230502075351,600.889
37.180.154.5/21,20230502074409-20230502075409,600.431
208.159.240.45/20,20230502073944-20230502075444,900.723
219.179.100.153/22,20230502074619-20230502075619,600.087
246.93.20.96/18,20230502074801-20230502075801,600.933
37.180.153.109/21,20230502074908-20230502075908,600.490
168.14.55.240/10,20230502075022-20230502080022,600.362
168.10.204.148/10,20230502075025-20230502080025,600.525
87.35.170.5/12,20230502075235-20230502080235,600.621
109.128.226.138/22,20230502074752-20230502080252,900.907
246.93.46.246/18,20230502075302-20230502080302,600.832
158.165.36.254/6,20230502075438-20230502080438,600.575
25.235.146.247/20,20230502075546-20230502080546,600.197
28.129.115.151/16,20230502075651-20230502080651,600.998
105.196.101.84/27,20230502075715-20230502080715,600.213
109.128.226.43/22,20230502075746-20230502080746,600.229
20.7.110.77/7,20230502075930-20230502080930,600.762
41.197.221.227/25,20230502075541-20230502081041,900.725
36.104.162.32/9,20230502075830-20230502081330,900.077
208.159.240.45/20,20230502080444-20230502081444,600.439
99.52.33.70/7,20230502080756-20230502081756,600.015
176.80.241.77/11,20230502081020-20230502082020,600.853
55.246.196.39/19,20230502081056-20230502082056,600.226
17.249.232.75/16,20230502081348-20230502082348,600.245
97.231.70.28/26,20230502081508-20230502082508,600.623
36.104.162.32/9,20230502081830-20230502082830,600.709
177.185.128.156/25,20230502082129-20230502083129,600.771
87.35.170.5/12,20230502081735-20230502083235,900.442
77.171.247.219/19,20230502082237-20230502083237,600.107
20.7.110.77/7,20230502082430-20230502083430,600.956
20.165.187.3/7,20230502082431-20230502083431,600.583
168.10.204.148/10,20230502082525-20230502083525,600.523
55.246.211.30/19,20230502082554-20230502083554,600.377
37.180.153.109/21,20230502082908-20230502083908,600.127
131.99.246.254/21,20230502082932-20230502083932,600.306
48.16.93.75/25,20230502082028-20230502084028,1200.656
219.179.103.49/22,20230502083127-20230502084127,600.883
203.50.98.161/19,20230502083156-20230502084156,600.210
199.4.137.119/1,20230502083223-20230502084223,600.025
164.237.177.33/22,20230502083325-20230502084325,600.644
186.136.5.93/10,20230502083412-20230502084412,600.529
7.26.157.64/26,20230502083009-20230502084509,900.086
192.187.36.108/20,20230502083015-20230502084515,900.945
75.50.142.15/22,20230502083636-20230502084636,600.119
160.75.127.133/16,20230502083640-20230502084640,600.213
42.228.53.247/5,20230502083702-20230502084702,600.651
176.80.241.77/11,20230502083520-20230502085020,900.524
134.111.246.222/8,20230502083835-20230502085335,900.372
208.159.240.45/20,20230502084444-20230502085444,600.941
55.246.196.39/19,20230502084556-20230502085556,600.107
134.0.113.205/8,20230502084833-20230502085833,600.034
109.128.226.138/22,20230502085252-20230502090252,600.773
164.237.177.33/22,20230502085325-20230502090325,600.843
11.154.184.213/25,20230502085358-20230502090358,600.265
97.231.70.28/26,20230502085508-20230502090508,600.652
75.50.142.89/22,20230502085633-20230502090633,600.736
61.201.198.227/20,20230502085257-20230502090757,900.597
246.93.46.246/18,20230502085802-20230502090802,600.800
177.185.128.137/25,20230502090130-20230502091130,600.478
28.129.115.151/16,20230502090151-20230502091151,600.968
77.171.247.219/19,20230502090237-20230502091237,600.484
186.136.5.93/10,20230502085412-20230502091412,1200.696
59.103.175.121/13,20230502090139-20230502091639,900.884
105.196.101.86/27,20230502085714-20230502091714,1200.114
100.108.192.70/22,20230502090816-20230502091816,600.570
203.50.98.161/19,20230502090656-20230502092156,900.487
9.111.78.84/19,20230502091318-20230502092818,900.682
219.179.103.49/22,20230502092127-20230502093127,600.266
61.201.192.199/20,20230502092258-20230502093258,600.038
159.218.83.48/2,20230502092424-20230502093424,600.358
158.108.74.234/6,20230502092437-20230502093437,600.483
55.246.211.30/19,20230502092554-20230502093554,600.102
62.89.35.65/15,20230502092900-20230502093900,600.801
81.255.22.30/24,20230502092907-20230502093907,600.714
37.180.153.109/21,20230502092908-20230502093908,600.486
135.35.117.33/18,20230502092447-20230502093947,900.556
0.122.8.157/2,20230502093352-20230502094352,600.061
158.165.36.254/6,20230502092938-20230502094438,900.572
236.21.251.65/22,20230502093502-20230502094502,600.184
225.177.190.229/13,20230502093710-20230502094710,600.505
44.177.37.213/27,20230502093803-20230502094803,600.234
192.187.36.220/20,20230502094019-20230502095019,600.628
168.14.55.240/10,20230502094522-20230502095522,600.046
160.75.18.105/16,20230502094145-20230502095645,900.503
20.165.187.3/7,20230502094931-20230502095931,600.760
177.185.128.156/25,20230502094629-20230502100129,900.793
59.101.143.52/13,20230502095138-20230502100138,600.461
42.105.108.220/5,20230502095207-20230502100207,600.624
20.7.110.77/7,20230502094930-20230502100430,900.479
186.137.64.199/10,20230502095911-20230502100911,600.220
25.235.146.247/20,20230502100046-20230502101046,600.825
177.185.128.137/25,20230502100130-20230502101130,600.481
42.228.53.247/5,20230502100202-20230502101202,600.559
199.4.137.119/1,20230502095723-20230502101223,900.930
0.122.8.157/2,20230502100352-20230502101852,900.990
230.5.194.181/21,20230502101102-20230502102102,600.714
131.99.245.55/21,20230502101436-20230502102436,600.412
7.26.157.101/26,20230502101512-20230502102512,600.334
192.187.36.220/20,20230502101519-20230502102519,600.801
28.129.145.98/16,20230502101152-20230502102652,900.535
160.75.127.133/16,20230502102140-20230502103140,600.363
134.111.246.222/8,20230502102335-20230502103335,600.898
56.76.34.106/10,20230502102351-20230502103351,600.537
168.10.204.148/10,20230502102525-20230502103525,600.863
55.246.211.30/19,20230502102554-20230502103554,600.392
105.196.101.86/27,20230502102214-20230502103714,900.386
186.136.5.93/10,20230502102912-20230502103912,600.375
225.177.190.229/13,20230502102210-20230502104210,1200.446
77.171.242.144/19,20230502103240-20230502104240,600.938
61.201.198.227/20,20230502103257-20230502104257,600.835
17.249.20.229/16,20230502103341-20230502104341,600.370
87.34.76.152/12,20230502103733-20230502104733,600.238
160.75.127.133/16,20230502103640-20230502105140,900.401
99.52.33.70/7,20230502104756-20230502105756,600.666
61.201.198.227/20,20230502104757-20230502105757,600.611
9.111.78.84/19,20230502104818-20230502105818,600.159
236.21.251.21/22,20230502104956-20230502105956,600.374
97.231.70.28/26,20230502105008-20230502110008,600.146
168.10.204.148/10,20230502105025-20230502110025,600.653
42.105.108.220/5,20230502105707-20230502110707,600.513
87.34.76.152/12,20230502105733-20230502110733,600.597
87.35.170.5/12,20230502105735-20230502110735,600.573
246.93.20.96/18,20230502105801-20230502110801,600.178
246.93.46.246/18,20230502105802-20230502110802,600.885
164.237.177.33/22,20230502105825-20230502110825,600.440
36.104.162.32/9,20230502105830-20230502110830,600.398
56.76.34.106/10,20230502105851-20230502110851,600.267
131.99.246.254/21,20230502110932-20230502111932,600.310
131.99.245.55/21,20230502110936-20230502111936,600.157
236.21.251.21/22,20230502110956-20230502111956,600.463
168.10.204.148/10,20230502111025-20230502112025,600.234
203.50.98.161/19,20230502111156-20230502112156,600.709
100.108.195.190/22,20230502111314-20230502112314,600.261
134.0.113.205/8,20230502111333-20230502112333,600.012
62.88.35.118/15,20230502111401-20230502112401,600.077
81.255.22.77/24,20230502111404-20230502112404,600.099
37.180.154.5/21,20230502111409-20230502112409,600.224
225.177.190.229/13,20230502110710-20230502112710,1200.266
56.117.128.85/2,20230502111354-20230502112854,900.310
20.7.110.77/7,20230502111430-20230502112930,900.355
176.84.58.155/11,20230502111021-20230502113021,1200.978
61.201.198.227/20,20230502111757-20230502113257,900.732
11.154.184.229/25,20230502112355-20230502113355,600.579
55.246.211.30/19,20230502112054-20230502113554,900.422
105.196.101.84/27,20230502112715-20230502113715,600.506
192.187.36.220/20,20230502113019-20230502114019,600.561
160.75.18.105/16,20230502113145-20230502114145,600.048
0.122.8.157/2,20230502112852-20230502114352,900.102
186.137.64.199/10,20230502113411-20230502114411,600.308
77.171.242.144/19,20230502113740-20230502114740,600.533
9.111.78.84/19,20230502113818-20230502114818,600.726
11.154.184.213/25,20230502113858-20230502114858,600.231
62.88.35.118/15,20230502113901-20230502114901,600.824
208.159.240.45/20,20230502113944-20230502114944,600.252
236.21.251.65/22,20230502114002-20230502115002,600.649
25.235.153.95/20,20230502114044-20230502115044,600.693
25.235.146.247/20,20230502114046-20230502115046,600.913
17.249.20.229/16,20230502114341-20230502115341,600.861
97.231.70.52/26,20230502114503-20230502115503,600.693
55.246.196.39/19,20230502114556-20230502115556,600.634
246.93.46.246/18,20230502114802-20230502115802,600.286
168.14.55.240/10,20230502115022-20230502120022,600.912
75.50.142.15/22,20230502114636-20230502120136,900.785
236.21.251.21/22,20230502115456-20230502120456,600.476
171.111.162.234/28,20230502115658-20230502120658,600.767
109.128.226.43/22,20230502115246-20230502120746,900.050
61.201.192.199/20,20230502115758-20230502120758,600.265
44.177.37.213/27,20230502115803-20230502120803,600.293
131.99.246.254/21,20230502115932-20230502120932,600.678
236.21.251.65/22,20230502120002-20230502121002,600.675
36.31.22.159/9,20230502115829-20230502121329,900.418
158.165.36.254/6,20230502115938-20230502121438,900.070
25.235.153.95/20,20230502120544-20230502121544,600.217
203.50.116.77/19,20230502120654-20230502121654,600.366
36.104.162.32/9,20230502120830-20230502121830,600.463
55.246.211.30/19,20230502121054-20230502122054,600.039
55.246.196.39/19,20230502120556-20230502122056,900.566
87.34.76.152/12,20230502121233-20230502122233,600.146
246.93.46.246/18,20230502121302-20230502122302,600.603
134.0.113.205/8,20230502121333-20230502122333,600.824
159.218.83.48/2,20230502120924-20230502122424,900.200
48.16.93.31/25,20230502121026-20230502122526,900.426
37.248.205.33/26,20230502121611-20230502122611,600.531
219.179.100.153/22,20230502121619-20230502122619,600.193
158.108.74.234/6,20230502121937-20230502122937,600.123
41.197.221.227/25,20230502122041-20230502123041,600.106
77.171.247.219/19,20230502122237-20230502123237,600.244
9.111.78.84/19,20230502122318-20230502123318,600.810
236.21.251.21/22,20230502122456-20230502123456,600.379
246.93.46.246/18,20230502123302-20230502124302,600.549
100.108.192.70/22,20230502123316-20230502124316,600.025
75.50.142.15/22,20230502121636-20230502124636,1800.051
100.108.195.190/22,20230502123814-20230502124814,600.536
11.154.184.229/25,20230502123855-20230502124855,600.849
37.248.205.33/26,20230502124111-20230502125111,600.815
105.196.101.84/27,20230502124215-20230502125215,600.643
199.4.137.119/1,20230502124223-20230502125223,600.033
131.99.245.55/21,20230502124436-20230502125436,600.113
28.129.145.98/16,20230502124152-20230502125652,900.813
17.249.232.75/16,20230502124848-20230502125848,600.351
97.231.70.52/26,20230502125003-20230502130003,600.224
219.179.103.49/22,20230502125127-20230502130127,600.741
75.50.142.89/22,20230502125133-20230502130133,600.747
42.105.108.220/5,20230502125207-20230502130207,600.892
109.128.226.43/22,20230502125246-20230502130246,600.385
158.165.36.254/6,20230502125438-20230502130438,600.838
135.35.74.17/18,20230502125453-20230502130453,600.346
192.187.36.108/20,20230502125515-20230502130515,600.846
41.197.221.227/25,20230502125541-20230502130541,600.288
0.122.8.157/2,20230502125852-20230502130852,600.293
11.154.184.229/25,20230502125855-20230502130855,600.235
176.84.58.155/11,20230502130021-20230502131021,600.374
177.185.128.137/25,20230502130130-20230502131130,600.178
61.201.198.227/20,20230502130257-20230502131257,600.542
203.50.116.77/19,20230502125654-20230502131654,1200.236
99.52.33.70/7,20230502130756-20230502131756,600.828
186.137.64.199/10,20230502130911-20230502131911,600.735
7.26.157.64/26,20230502131009-20230502132009,600.863
160.75.18.105/16,20230502130645-20230502132145,900.260
61.201.192.199/20,20230502130758-20230502132258,900.642
168.10.204.148/10,20230502132025-20230502133025,600.986
56.66.252.146/10,20230502131849-20230502133349,900.840
203.50.116.77/19,20230502132654-20230502133654,600.621
61.201.198.227/20,20230502132257-20230502133757,900.803
100.108.195.190/22,20230502133314-20230502134314,600.330
62.89.35.65/15,20230502133400-20230502134400,600.997
98.117.176.229/7,20230502133753-20230502134753,600.377
0.122.8.157/2,20230502133852-20230502134852,600.987
186.136.5.93/10,20230502133912-20230502134912,600.466
55.246.196.39/19,20230502134056-20230502135056,600.352
77.171.247.219/19,20230502133237-20230502135237,1200.766
56.76.34.106/10,20230502134351-20230502135351,600.708
41.197.221.227/25,20230502134541-20230502135541,600.371
219.179.100.153/22,20230502134619-20230502135619,600.847
28.129.145.98/16,20230502134652-20230502135652,600.432
203.50.116.77/19,20230502134654-20230502135654,600.336
42.105.108.220/5,20230502134707-20230502135707,600.164
100.108.192.70/22,20230502134816-20230502135816,600.626
186.137.64.199/10,20230502134411-20230502135911,900.415
134.0.113.205/8,20230502135333-20230502140333,600.718
134.111.246.222/8,20230502135335-20230502140335,600.585
81.255.22.30/24,20230502134907-20230502140407,900.557
0.122.8.157/2,20230502140352-20230502141352,600.016
168.14.55.240/10,20230502140022-20230502141522,900.493
56.76.34.106/10,20230502140851-20230502141851,600.774
208.159.246.1/20,20230502140941-20230502141941,600.300
168.10.204.148/10,20230502141025-20230502142025,600.318
109.128.226.43/22,20230502141246-20230502142246,600.815
186.137.64.199/10,20230502141411-20230502142411,600.205
158.165.36.254/6,20230502140938-20230502142438,900.711
160.75.127.133/16,20230502141640-20230502142640,600.760
61.201.192.199/20,20230502141258-20230502142758,900.429
7.26.157.64/26,20230502142009-20230502143009,600.779
75.50.142.89/22,20230502142633-20230502143633,600.262
225.180.30.210/13,20230502142709-20230502144209,900.395
36.104.162.32/9,20230502143330-20230502144330,600.976
134.111.246.222/8,20230502143335-20230502144335,600.585
236.21.251.65/22,20230502143502-20230502144502,600.832
219.179.100.153/22,20230502143619-20230502144619,600.425
109.128.226.43/22,20230502143746-20230502144746,600.591
9.111.78.84/19,20230502142818-20230502144818,1200.614
59.103.175.121/13,20230502144139-20230502145139,600.458
100.108.195.190/22,20230502144314-20230502145314,600.236
134.0.113.205/8,20230502144833-20230502145833,600.353
100.108.192.70/22,20230502143816-20230502150316,1500.020
81.255.22.77/24,20230502144904-20230502150404,900.495
37.248.205.53/26,20230502145614-20230502150614,600.924
9.111.78.84/19,20230502145318-20230502150818,900.089
37.248.205.33/26,20230502150111-20230502151111,600.607
134.111.246.222/8,20230502150335-20230502151335,600.108
11.154.184.229/25,20230502150355-20230502151355,600.215
219.179.100.153/22,20230502150619-20230502151619,600.313
160.75.18.105/16,20230502150645-20230502151645,600.668
42.105.108.220/5,20230502150207-20230502151707,900.943
81.255.22.30/24,20230502145907-20230502151907,1200.644
176.84.58.155/11,20230502151021-20230502152021,600.631
109.128.226.43/22,20230502151246-20230502152246,600.533
0.122.8.157/2,20230502151352-20230502152352,600.912
37.248.205.33/26,20230502151611-20230502152611,600.033
98.117.176.229/7,20230502151753-20230502152753,600.203
59.101.143.52/13,20230502152138-20230502153138,600.568
28.129.145.98/16,20230502151652-20230502153152,900.127
246.93.46.246/18,20230502152302-20230502153302,600.136
159.218.83.48/2,20230502152424-20230502153424,600.689
236.21.251.65/22,20230502152502-20230502153502,600.783
97.231.70.52/26,20230502152503-20230502153503,600.643
25.235.153.95/20,20230502152544-20230502153544,600.005
55.246.196.39/19,20230502152556-20230502153556,600.045
75.50.142.89/22,20230502152633-20230502153633,600.152
160.75.18.105/16,20230502152645-20230502153645,600.037
62.88.35.118/15,20230502152901-20230502153901,600.003
158.108.74.234/6,20230502152937-20230502153937,600.461
208.159.246.1/20,20230502152441-20230502153941,900.837
192.187.36.220/20,20230502153019-20230502154019,600.784
176.84.58.155/11,20230502153021-20230502154021,600.764
100.108.195.190/22,20230502153814-20230502154814,600.124
230.5.194.166/21,20230502154107-20230502155107,600.826
177.185.128.156/25,20230502154129-20230502155129,600.359
61.201.198.227/20,20230502154257-20230502155257,600.433
77.171.247.219/19,20230502154737-20230502155737,600.260
11.154.184.229/25,20230502154855-20230502155855,600.698
11.154.184.213/25,20230502154858-20230502155858,600.552
48.16.93.75/25,20230502155028-20230502160028,600.711
36.104.162.32/9,20230502155330-20230502160330,600.510
134.0.113.205/8,20230502155333-20230502160333,600.356
37.180.153.109/21,20230502155408-20230502160408,600.912
135.35.74.17/18,20230502155453-20230502160453,600.396
62.89.35.65/15,20230502154900-20230502160900,1200.481
219.179.100.153/22,20230502160119-20230502161119,600.150
75.50.142.15/22,20230502160136-20230502161136,600.420
203.50.98.161/19,20230502160156-20230502161156,600.203
100.108.192.70/22,20230502160316-20230502161316,600.486
36.31.22.159/9,20230502160329-20230502161329,600.823
171.111.162.229/28,20230502160700-20230502161700,600.179
134.0.113.205/8,20230502160833-20230502161833,600.845
11.154.184.229/25,20230502160355-20230502161855,900.635
158.165.36.254/6,20230502160938-20230502161938,600.003
7.26.157.101/26,20230502161012-20230502162012,600.236
168.10.204.148/10,20230502161525-20230502162525,600.861
17.249.20.229/16,20230502161341-20230502162841,900.231
56.117.128.85/2,20230502161354-20230502162854,900.698
75.50.142.89/22,20230502162133-20230502163133,600.335
42.105.108.220/5,20230502162207-20230502163207,600.468
170.160.187.199/1,20230502162222-20230502163222,600.170
134.0.113.205/8,20230502162333-20230502163333,600.138
37.248.205.33/26,20230502162611-20230502163611,600.547
0.122.8.157/2,20230502162852-20230502163852,600.795
55.246.211.30/19,20230502163054-20230502164054,600.234
11.154.184.229/25,20230502163355-20230502164355,600.124
135.35.117.33/18,20230502163447-20230502164447,600.286
177.185.128.156/25,20230502163629-20230502164629,600.737
203.50.116.77/19,20230502163654-20230502164654,600.904
134.111.246.222/8,20230502163835-20230502164835,600.958
87.34.76.152/12,20230502163733-20230502165233,900.779
61.201.198.227/20,20230502164257-20230502165257,600.978
17.249.20.229/16,20230502164341-20230502165341,600.549
131.99.246.254/21,20230502164432-20230502165432,600.890
171.111.162.234/28,20230502164158-20230502165658,900.348
176.84.58.155/11,20230502165021-20230502170021,600.817
55.246.211.30/19,20230502165054-20230502170054,600.981
37.180.153.109/21,20230502164408-20230502170408,1200.763
186.137.64.199/10,20230502164911-20230502170411,900.261
159.218.83.48/2,20230502165424-20230502170424,600.048
75.50.142.89/22,20230502165633-20230502170633,600.932
61.201.198.227/20,20230502170257-20230502171257,600.423
97.231.70.28/26,20230502170508-20230502171508,600.050
87.35.170.5/12,20230502170735-20230502171735,600.918
56.66.252.146/10,20230502170349-20230502171849,900.978
186.136.5.93/10,20230502170912-20230502171912,600.622
59.103.175.121/13,20230502171139-20230502172139,600.601
164.237.177.33/22,20230502171325-20230502172325,600.519
134.0.113.205/8,20230502170833-20230502172333,900.403
37.180.154.5/21,20230502170909-20230502172409,900.329
170.160.187.199/1,20230502171722-20230502172722,600.300
36.104.162.32/9,20230502171830-20230502172830,600.387
17.249.20.229/16,20230502171841-20230502172841,600.376
0.122.8.157/2,20230502171352-20230502172852,900.568
105.196.101.86/27,20230502172214-20230502173214,600.866
87.34.76.152/12,20230502172233-20230502173233,600.121
37.180.153.109/21,20230502172408-20230502173408,600.963
203.50.98.161/19,20230502172656-20230502173656,600.428
208.159.240.45/20,20230502172944-20230502173944,600.880
25.235.146.247/20,20230502173546-20230502174546,600.937
160.75.127.133/16,20230502173640-20230502174640,600.862
42.228.53.247/5,20230502173702-20230502174702,600.202
135.35.117.33/18,20230502173947-20230502174947,600.564
246.93.46.246/18,20230502174302-20230502175302,600.774
134.0.113.205/8,20230502174333-20230502175333,600.348
156.179.168.89/2,20230502173916-20230502175416,900.280
158.165.36.254/6,20230502174438-20230502175438,600.445
97.231.70.52/26,20230502174503-20230502175503,600.250
9.111.78.84/19,20230502175318-20230502180318,600.520
41.197.221.248/25,20230502175539-20230502180539,600.690
41.197.221.227/25,20230502175541-20230502180541,600.798
171.111.162.234/28,20230502175658-20230502180658,600.704
109.128.226.43/22,20230502175746-20230502180746,600.422
61.201.198.227/20,20230502175757-20230502180757,600.533
61.201.192.199/20,20230502175258-20230502180758,900.371
56.66.252.146/10,20230502175849-20230502180849,600.373
59.101.143.52/13,20230502180138-20230502181138,600.113
77.171.247.219/19,20230502175737-20230502181237,900.709
62.88.35.118/15,20230502180401-20230502181401,600.933
81.255.22.77/24,20230502180404-20230502181404,600.613
75.50.142.15/22,20230502180636-20230502181636,600.384
160.75.127.133/16,20230502180640-20230502181640,600.671
171.111.162.229/28,20230502181200-20230502182200,600.843
134.0.113.205/8,20230502180833-20230502182333,900.876
131.99.246.254/21,20230502181432-20230502182432,600.378
219.179.100.153/22,20230502181619-20230502182619,600.443
100.108.195.190/22,20230502181314-20230502182814,900.289
98.117.176.229/7,20230502182253-20230502183253,600.095
62.88.35.118/15,20230502181901-20230502183401,900.436
159.218.83.48/2,20230502182424-20230502183424,600.097
158.165.36.254/6,20230502182438-20230502183438,600.965
199.4.137.119/1,20230502182723-20230502183723,600.815
62.89.35.65/15,20230502182900-20230502183900,600.214
41.197.221.227/25,20230502183041-20230502184041,600.603
55.246.196.39/19,20230502183556-20230502184556,600.771
230.5.194.181/21,20230502183602-20230502184602,600.728
75.50.142.15/22,20230502183636-20230502184636,600.642
28.129.115.151/16,20230502183651-20230502184651,600.564
208.159.246.1/20,20230502183941-20230502184941,600.213
97.231.70.52/26,20230502183503-20230502185003,900.846
176.80.241.77/11,20230502184020-20230502185020,600.897
98.117.176.229/7,20230502184253-20230502185253,600.534
219.179.103.49/22,20230502184627-20230502185627,600.673
59.101.143.52/13,20230502184638-20230502185638,600.559
160.75.127.133/16,20230502184640-20230502185640,600.515
109.128.226.138/22,20230502184752-20230502185752,600.537
246.93.20.96/18,20230502185301-20230502190301,600.496
134.0.113.205/8,20230502184833-20230502190333,900.354
0.122.8.157/2,20230502185352-20230502190352,600.953
81.255.22.30/24,20230502185407-20230502190407,600.543
168.10.204.148/10,20230502185525-20230502190525,600.088
225.177.190.229/13,20230502185710-20230502190710,600.894
61.201.192.199/20,20230502185758-20230502190758,600.517
131.99.246.254/21,20230502185932-20230502190932,600.717
236.21.251.21/22,20230502185456-20230502190956,900.765
41.197.221.227/25,20230502185041-20230502191041,1200.822
199.4.137.119/1,20230502185723-20230502191223,900.248
176.80.241.77/11,20230502190020-20230502191520,900.435
87.34.76.152/12,20230502190733-20230502191733,600.288
87.35.170.5/12,20230502190735-20230502191735,600.231
11.154.184.213/25,20230502190358-20230502191858,900.944
62.88.35.118/15,20230502190901-20230502191901,600.280
97.231.70.28/26,20230502191008-20230502192008,600.232
75.50.142.89/22,20230502190633-20230502192133,900.560
36.104.162.32/9,20230502191330-20230502192330,600.678
135.35.117.33/18,20230502191447-20230502192447,600.566
